C_66_Y_AC_68|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
310.0|41720.0|AK_24|CL_66_Y_AC_68|800.0|1.0|233.0|4.0|8.0|3.0|0.0|0.0|0.0|2.0|0.0|4.0|4.0|1.0|0.0|0.0|37.0|14.0|CORRESPONDE A LA AK 24 CON CL 68
319.0|41720.0|AK_24|CL_66_Y_AC_68|815.0|1.0|255.0|2.0|3.0|7.0|0.0|0.0|0.0|1.0|0.0|5.0|3.0|0.0|0.0|0.0|35.0|8.0|CORRESPONDE A LA AK 24 CON CL 68
319.0|41720.0|AK_24|CL_66_Y_AC_68|830.0|1.0|243.0|5.0|4.0|7.0|0.0|0.0|0.0|2.0|0.0|2.0|5.0|0.0|0.0|0.0|42.0|9.0|CORRESPONDE A LA AK 24 CON CL 68
335.0|41720.0|AK_24|CL_66_Y_AC_68|845.0|1.0|256.0|5.0|6.0|6.0|0.0|0.0|0.0|2.0|0.0|2.0|6.0|0.0|0.0|0.0|42.0|10.0|CORRESPONDE A LA AK 24 CON CL 68
338.0|41720.0|AK_24|CL_66_Y_AC_68|900.0|1.0|264.0|4.0|2.0|4.0|0.0|0.0|0.0|1.0|0.0|2.0|1.0|0.0|0.0|0.0|42.0|18.0|CORRESPONDE A LA AK 24 CON CL 68
356.0|41720.0|AK_24|CL_66_Y_AC_68|915.0|1.0|277.0|5.0|2.0|7.0|0.0|0.0|0.0|2.0|0.0|3.0|5.0|0.0|0.0|0.0|45.0|10.0|CORRESPONDE A LA AK 24 CON CL 68
354.0|41720.0|AK_24|CL_66_Y_AC_68|930.0|1.0|250.0|5.0|6.0|7.0|0.0|0.0|0.0|3.0|0.0|2.0|6.0|0.0|0.0|0.0|59.0|16.0|CORRESPONDE A LA AK 24 CON CL 68
367.0|41720.0|AK_24|CL_66_Y_AC_68|945.0|1.0|271.0|3.0|5.0|4.0|0.0|0.0|0.0|2.0|0.0|2.0|5.0|1.0|0.0|0.0|67.0|7.0|CORRESPONDE A LA AK 24 CON CL 68
380.0|41720.0|AK_24|CL_66_Y_AC_68|1000.0|1.0|263.0|2.0|3.0|8.0|0.0|0.0|0.0|3.0|0.0|4.0|7.0|0.0|0.0|0.0|81.0|9.0|CORRESPONDE A LA AK 24 CON CL 68
426.0|41720.0|AK_24|CL_66_Y_AC_68|1015.0|1.0|322.0|3.0|5.0|2.0|0.0|0.0|0.0|1.0|0.0|4.0|4.0|0.0|0.0|0.0|67.0|18.0|CORRESPONDE A LA AK 24 CON CL 68
