|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
513.0|41797.0|AK_72|AC_138|1230.0|1.0|402.0|0.0|3.0|4.0|0.0|0.0|0.0|5.0|16.0|8.0|17.0|2.0|2.0|2.0|52.0|0.0|1120-1300 LLUVIA FUERTE.
607.0|41797.0|AK_72|AC_138|1245.0|1.0|487.0|0.0|7.0|5.0|0.0|0.0|0.0|8.0|20.0|5.0|15.0|3.0|2.0|1.0|54.0|0.0|1120-1300 LLUVIA FUERTE.
661.0|41797.0|AK_72|AC_138|1300.0|1.0|529.0|0.0|2.0|5.0|0.0|0.0|0.0|10.0|26.0|4.0|12.0|2.0|0.0|1.0|70.0|0.0|
663.0|41797.0|AK_72|AC_138|1315.0|1.0|538.0|1.0|4.0|9.0|0.0|0.0|0.0|6.0|18.0|7.0|18.0|1.0|0.0|0.0|61.0|0.0|
761.0|41797.0|AK_72|AC_138|1330.0|1.0|627.0|0.0|7.0|8.0|0.0|0.0|0.0|8.0|19.0|6.0|17.0|4.0|0.0|2.0|63.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
711.0|41797.0|AK_72|AC_138|1345.0|1.0|581.0|1.0|6.0|5.0|0.0|0.0|0.0|11.0|17.0|6.0|18.0|1.0|1.0|6.0|58.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
733.0|41797.0|AK_72|AC_138|1400.0|1.0|610.0|0.0|11.0|3.0|0.0|0.0|0.0|8.0|11.0|2.0|21.0|0.0|3.0|0.0|62.0|2.0|1337-1730 LLUEVE ESPORADICAMENTE.
733.0|41797.0|AK_72|AC_138|1415.0|1.0|611.0|1.0|7.0|5.0|0.0|0.0|0.0|6.0|14.0|3.0|6.0|1.0|1.0|5.0|73.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
695.0|41797.0|AK_72|AC_138|1430.0|1.0|567.0|0.0|6.0|6.0|0.0|0.0|0.0|8.0|20.0|3.0|12.0|0.0|2.0|2.0|68.0|1.0|1337-1730 LLUEVE ESPORADICAMENTE.
645.0|41797.0|AK_72|AC_138|1445.0|1.0|506.0|1.0|7.0|5.0|0.0|0.0|0.0|7.0|16.0|2.0|16.0|0.0|3.0|4.0|78.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
