Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AC_26_TV_93,NOHAB,11,20173,4,3.0,6.833333333333333,0.6666666666666666,5.5,0.5,9.666666666666666,12.5,9.833333333333334,2.8333333333333335,1.6666666666666667,0.3333333333333333,16.333333333333332,0.0,366.6666666666667,27.5,463.8333333333333
L_AC_26_TV_93,NOHAB,11,20173,5,1.8333333333333333,9.666666666666666,3.0,18.666666666666668,2.8333333333333335,13.833333333333334,40.0,18.833333333333332,11.333333333333334,7.333333333333333,0.5,12.833333333333334,0.16666666666666666,716.0,90.66666666666667,947.5000000000001
L_AC_26_TV_93,NOHAB,11,20173,6,2.5,13.0,3.0,23.333333333333332,4.333333333333333,14.666666666666666,44.5,31.166666666666668,18.166666666666668,8.0,1.0,16.5,0.0,863.5,177.66666666666666,1221.3333333333335
L_AC_26_TV_93,NOHAB,11,20173,7,1.8333333333333333,13.0,3.6666666666666665,20.333333333333332,3.0,11.5,37.5,28.0,19.666666666666668,7.166666666666667,1.5,11.833333333333334,0.3333333333333333,872.5,172.83333333333334,1204.666666666667
L_AC_26_TV_93,NOHAB,11,20173,8,2.5,10.833333333333334,2.6666666666666665,20.166666666666668,4.166666666666667,12.666666666666666,39.0,34.333333333333336,27.5,10.333333333333334,3.1666666666666665,5.333333333333333,0.6666666666666666,892.1666666666666,143.5,1209.0
L_AC_26_TV_93,NOHAB,11,20173,9,2.1666666666666665,12.333333333333334,3.8333333333333335,19.666666666666668,4.166666666666667,11.833333333333334,32.333333333333336,32.833333333333336,25.666666666666668,10.666666666666666,2.8333333333333335,4.666666666666667,0.3333333333333333,854.5,113.33333333333333,1131.1666666666665
L_AC_26_TV_93,NOHAB,11,20173,10,2.1666666666666665,16.333333333333332,2.0,16.333333333333332,3.5,11.0,34.166666666666664,45.833333333333336,28.166666666666668,9.833333333333334,1.6666666666666667,6.666666666666667,0.0,883.1666666666666,123.16666666666667,1183.9999999999998
L_AC_26_TV_93,NOHAB,11,20173,11,0.6666666666666666,12.333333333333334,3.8333333333333335,14.666666666666666,2.5,9.166666666666666,33.333333333333336,38.333333333333336,22.0,8.0,1.5,6.833333333333333,0.6666666666666666,902.6666666666666,111.16666666666667,1167.6666666666665
L_AC_26_TV_93,NOHAB,11,20173,12,4.333333333333333,11.0,4.666666666666667,14.666666666666666,3.5,8.833333333333334,31.833333333333332,37.0,24.333333333333332,7.5,2.0,6.833333333333333,0.16666666666666666,915.3333333333334,127.0,1199.0
L_AC_26_TV_93,NOHAB,11,20173,13,1.8333333333333333,9.833333333333334,4.333333333333333,15.666666666666666,3.6666666666666665,8.166666666666666,31.166666666666668,36.833333333333336,31.833333333333332,8.0,1.0,7.333333333333333,0.5,849.6666666666666,131.33333333333334,1141.1666666666663
L_AC_26_TV_93,NOHAB,11,20173,14,1.3333333333333333,11.166666666666666,3.0,15.333333333333334,2.8333333333333335,11.333333333333334,34.166666666666664,39.166666666666664,20.166666666666668,2.3333333333333335,0.5,12.166666666666666,0.3333333333333333,1009.0,141.5,1304.3333333333335
L_AC_26_TV_93,NOHAB,11,20173,15,2.3333333333333335,10.333333333333334,3.1666666666666665,13.833333333333334,3.6666666666666665,7.166666666666667,36.666666666666664,32.0,24.0,3.0,0.16666666666666666,10.0,1.0,949.5,105.66666666666667,1202.5000000000002
L_AC_26_TV_93,NOHAB,11,20173,16,1.1666666666666667,9.0,3.1666666666666665,15.166666666666666,5.0,9.0,30.666666666666668,25.333333333333332,11.833333333333334,0.8333333333333334,0.5,9.833333333333334,0.8333333333333334,910.0,87.5,1119.8333333333333
L_AC_26_TV_93,NOHAB,11,20173,17,0.6666666666666666,9.333333333333334,2.3333333333333335,14.833333333333334,2.8333333333333335,10.0,35.0,19.0,9.166666666666666,3.3333333333333335,0.5,7.833333333333333,0.5,888.3333333333334,96.66666666666667,1100.3333333333333
L_AC_26_TV_93,NOHAB,11,20173,18,0.8333333333333334,9.166666666666666,2.8333333333333335,12.833333333333334,4.5,10.5,30.0,15.833333333333334,8.666666666666666,2.3333333333333335,0.3333333333333333,8.0,0.5,878.1666666666666,88.33333333333333,1072.833333333333
